Date,DeviceSerialNumber,SensorType,Value,Unit,Status
2021-12-28 11:11,CH20211110,Light,97,Lux,good
2021-12-28 11:11,CH20211110,Light,85,Lux,good
2021-12-28 11:11,CH20211110,Light,103,Lux,good
2021-12-28 11:11,CH20211110,Light,95,Lux,good
2021-12-28 11:11,CH20211110,Light,103,Lux,good
2021-12-28 11:11,CH20211110,Light,96,Lux,good
2021-12-28 11:11,CH20211110,Light,90,Lux,good
2021-12-28 12:12,CH20211110,Light,99,Lux,good
2021-12-28 12:12,CH20211110,Light,96,Lux,good
2021-12-28 12:12,CH20211110,Light,91,Lux,good
2021-12-28 12:12,CH20211110,Light,86,Lux,good
2021-12-28 12:12,CH20211110,Light,87,Lux,good
2021-12-28 12:12,CH20211110,Light,92,Lux,good
2021-12-28 12:12,CH20211110,Light,100,Lux,good
2021-12-28 12:12,CH20211110,Light,123,Lux,good
2021-12-28 12:12,CH20211110,Light,101,Lux,good
2021-12-28 12:12,CH20211110,Light,132,Lux,good
2021-12-28 12:12,CH20211110,Light,124,Lux,good
2021-12-28 12:12,CH20211110,Light,126,Lux,good
2021-12-28 13:01,CH20211110,Light,119,Lux,good
2021-12-28 13:01,CH20211110,Light,106,Lux,good
2021-12-28 13:01,CH20211110,Light,97,Lux,good
2021-12-28 13:01,CH20211110,Light,96,Lux,good
2021-12-28 13:01,CH20211110,Light,115,Lux,error
2021-12-28 13:01,CH20211110,Light,115,Lux,error
2021-12-28 13:01,CH20211110,Light,115,Lux,error
2021-12-28 13:01,CH20211110,Light,115,Lux,error
2021-12-28 13:01,CH20211110,Light,93,Lux,error
2021-12-28 13:01,CH20211110,Light,93,Lux,error
2021-12-28 13:01,CH20211110,Light,93,Lux,error
2021-12-28 14:02,CH20211110,Light,93,Lux,error
2021-12-28 14:02,CH20211110,Light,115,Lux,good
2021-12-28 14:02,CH20211110,Light,102,Lux,good
2021-12-28 14:02,CH20211110,Light,101,Lux,good
2021-12-28 14:02,CH20211110,Light,94,Lux,good
2021-12-28 14:02,CH20211110,Light,90,Lux,good
2021-12-28 14:02,CH20211110,Light,92,Lux,good
2021-12-28 14:02,CH20211110,Light,95,Lux,good
2021-12-28 14:02,CH20211110,Light,94,Lux,good
2021-12-28 14:02,CH20211110,Light,95,Lux,error
2021-12-28 14:02,CH20211110,Light,95,Lux,error
2021-12-28 14:02,CH20211110,Light,106,Lux,good
2021-12-28 15:03,CH20211110,Light,114,Lux,good
2021-12-28 15:03,CH20211110,Light,116,Lux,good
2021-12-28 15:03,CH20211110,Light,90,Lux,good
2021-12-28 15:03,CH20211110,Light,79,Lux,error
2021-12-28 15:03,CH20211110,Light,0,Lux,error
2021-12-28 15:03,CH20211110,Light,0,Lux,error
2021-12-28 15:03,CH20211110,Light,0,Lux,error
2021-12-28 15:03,CH20211110,Light,0,Lux,error
2021-12-28 15:03,CH20211110,Light,0,Lux,error
2021-12-28 15:03,CH20211110,Light,136,Lux,error
2021-12-28 15:03,CH20211110,Light,136,Lux,error
2021-12-28 15:03,CH20211110,Light,136,Lux,error
